Country/Region,Continent,WHO Region,iso_alpha
USA,North America,Americas,USA
Afghanistan,Asia,EasternMediterranean,AFG
Albania,Europe,Europe,ALB
Algeria,Africa,Africa,DZA
Andorra,Europe,Europe,AND
Angola,Africa,Africa,AGO
Antigua and Barbuda,North America,Americas,ATG
Argentina,South America,Americas,ARG
Armenia,Asia,Europe,ARM
Aruba,North America,,ABW
Australia,Australia/Oceania,WesternPacific,AUS
Austria,Europe,Europe,AUT
Azerbaijan,Asia,Europe,AZE
Bahamas,North America,Americas,BHS
Bahrain,Asia,EasternMediterranean,BHR
Bangladesh,Asia,South-EastAsia,BGD
Barbados,North America,Americas,BRB
Belarus,Europe,Europe,BLR
Belgium,Europe,Europe,BEL
Belize,North America,Americas,BLZ
Benin,Africa,Africa,BEN
Bermuda,North America,Americas,BMU
Bhutan,Asia,South-EastAsia,BTN
Bolivia,South America,Americas,BOL
Bosnia and Herzegovina,Europe,Europe,BIH
Botswana,Africa,Africa,BWA
Brazil,South America,Americas,BRA
Brunei,Asia,South-EastAsia,BRN
Bulgaria,Europe,Europe,BGR
Burkina Faso,Africa,Africa,BFA
Burundi,Africa,Africa,BDI
Cabo Verde,Africa,Africa,CPV
Cambodia,Asia,WesternPacific,KHM
Cameroon,Africa,Africa,CMR
Canada,North America,Americas,CAN
Cayman Islands,North America,Americas,CYM
Chad,Africa,Africa,TCD
Chile,South America,Americas,CHL
Colombia,South America,Americas,COL
Comoros,Africa,Africa,COM
Congo,Africa,Africa,COG
Costa Rica,North America,Americas,CRI
Croatia,Europe,Europe,HRV
Cuba,North America,Americas,CUB
Curaçao,North America,Americas,NLD
Cyprus,Asia,WesternAsia,CYP
Czechia,Europe,Europe,CZE
Denmark,Europe,Europe,DNK
Cruise Ship,Cruise Ship,Cruise Ship,Cruise Ship
Djibouti,Africa,EasternMediterranean,DJI
Dominica,North America,Americas,DMA
Dominican Republic,North America,Americas,DOM
DRC,Africa,Africa,COD
Ecuador,South America,Americas,ECU
Egypt,Africa,EasternMediterranean,EGY
El Salvador,North America,Americas,SLV
Equatorial Guinea,Africa,Africa,GNQ
Eritrea,Africa,Africa,ERI
Estonia,Europe,Europe,EST
Eswatini,Africa,Africa,SWZ
Ethiopia,Africa,Africa,ETH
Faeroe Islands,Europe,Europe,FRO
Falkland Islands,South America,Americas,FLK
Fiji,Australia/Oceania,WesternPacific,FJI
Finland,Europe,Europe,FIN
France,Europe,Europe,FRA
French Guiana,South America,Americas,GUF
French Polynesia,Australia/Oceania,Polynesia,PYF
Gabon,Africa,Africa,GAB
Gambia,Africa,Africa,GMB
Georgia,Asia,Europe,GEO
Germany,Europe,Europe,DEU
Ghana,Africa,Africa,GHA
Gibraltar,Europe,Southern Europe,GIB
Greece,Europe,Europe,GRC
Greenland,North America,Europe,GRL
Grenada,North America,Americas,GRD
Guadeloupe,North America,Americas,FRA
Guatemala,North America,Americas,GTM
Guinea,Africa,Africa,GIN
Guinea-Bissau,Africa,Africa,GNB
Guyana,South America,Americas,GUY
Haiti,North America,Americas,HTI
Honduras,North America,Americas,HND
Hong Kong,Asia,WesternPacific,HKG
Hungary,Europe,Europe,HUN
Iceland,Europe,Europe,ISL
India,Asia,South-EastAsia,IND
Indonesia,Asia,South-EastAsia,IDN
Iran,Asia,EasternMediterranean,IRN
Iraq,Asia,EasternMediterranean,IRQ
Ireland,Europe,Europe,IRL
Isle of Man,Europe,Nothern Europe,IMN
Israel,Asia,Europe,ISR
Italy,Europe,Europe,ITA
Cote d'Ivoire,Africa,Africa,CIV
Jamaica,North America,Americas,JAM
Japan,Asia,WesternPacific,JPN
Jordan,Asia,EasternMediterranean,JOR
Kazakhstan,Asia,Europe,KAZ
